student_id,GPA,percentile,specialization
9150311,7.36,33,MOP
9393802,8.15,17,PR
9875311,5.71,32,RS
9695755,2.98,74,ADIS
9875706,5.08,94,RS
9643763,9.84,70,MOP
9795539,2.73,44,RS
9528132,3.45,87,PR
9123953,6.19,40,RS
9085308,9.49,84,ADIS
9519518,4.0,14,RS
9302776,5.66,51,ADIS
9290004,6.25,51,MOP
9887452,7.24,23,RS
9100792,3.9,85,ADIS
9607539,7.03,95,RS
9121239,8.45,69,PR
9285184,2.8,80,RS
9199044,2.97,14,PR
9680581,2.43,37,MOP
9218032,9.15,18,RS
9777497,2.5,49,RS
9488880,4.13,91,ADIS
9600767,8.16,37,ADIS
9661574,4.57,54,PR
9368057,6.39,35,PR
9848396,9.66,66,ADIS
9546963,2.61,71,RS
9363291,9.33,58,PR
9558634,3.07,89,ADIS
9466832,2.45,4,ADIS
9702214,9.72,69,ADIS
9634144,6.82,85,ADIS
9404923,2.79,97,ADIS
9750099,9.09,38,PR
9848787,5.46,61,PR
9563779,7.55,0,ADIS
9543268,3.83,55,MOP
9448369,9.08,77,PR
9418386,3.38,58,MOP
9762227,7.71,45,PR
9357706,9.61,96,MOP
9842159,9.44,80,PR
9543851,8.29,57,ADIS
9987618,2.85,64,MOP
9469135,6.47,60,MOP
9266292,9.25,83,MOP
9401335,4.87,47,PR
9268947,2.99,67,RS
9263783,4.46,52,RS
9870764,3.01,23,PR
9484714,2.24,51,ADIS
9381208,2.35,16,PR
9622576,2.01,32,PR
9001850,3.36,65,RS
9638655,8.44,30,PR
9353958,4.77,86,PR
9239451,1.59,88,PR
9563998,6.06,78,RS
9813791,7.1,93,ADIS
9279297,9.63,17,MOP
9349584,9.42,17,ADIS
9145372,9.24,99,PR
9092249,7.92,12,ADIS
9088242,9.89,22,MOP
9814354,2.12,51,MOP
9607293,7.27,28,RS
9064090,6.11,36,ADIS
9208054,3.59,30,RS
9360510,5.4,78,RS
9341043,8.05,17,MOP
9096254,9.73,68,ADIS
9468602,4.23,93,ADIS
9704713,1.54,74,RS
9749246,8.23,59,MOP
9200810,5.61,71,MOP
9340323,8.86,74,RS
9453448,6.09,78,MOP
9137210,8.27,31,ADIS
9915887,9.48,85,PR
9967981,5.05,78,PR
9219190,1.54,44,RS
9447149,9.71,72,PR
9035354,6.42,1,RS
9385897,8.89,71,PR
9813488,6.29,75,MOP
9494566,3.14,98,PR
9683325,9.38,3,MOP
9290995,4.41,59,PR
9018643,4.53,100,RS
9195250,5.14,38,PR
9369205,6.41,33,ADIS
9717916,7.31,30,ADIS
9591063,6.97,1,MOP
9640910,8.25,39,MOP
9775998,1.81,90,PR
9289763,4.62,5,ADIS
9970110,6.63,29,PR
9556741,4.37,63,ADIS
9913664,4.8,29,PR
9669967,2.12,38,ADIS
9238106,5.02,62,ADIS
9563816,3.35,37,PR
9755964,1.98,90,RS
9428024,3.16,65,RS
9672513,6.68,78,MOP
9656072,6.91,58,ADIS
9102172,6.61,74,RS
9434536,7.45,68,ADIS
9600349,5.32,2,PR
9972908,6.22,79,MOP
9148946,9.74,100,ADIS
9747108,5.24,3,PR
9273563,1.78,29,MOP
9407093,5.38,52,MOP
9373717,4.94,31,MOP
9438298,6.68,30,MOP
9927806,7.37,54,RS
9277256,8.24,48,PR
9266209,8.56,60,ADIS
9671528,9.76,10,RS
9658560,8.26,5,MOP
9522933,3.92,1,ADIS
9837084,8.24,79,PR
9094885,6.14,68,MOP
9184889,6.59,86,ADIS
9494836,7.79,18,MOP
9173726,7.57,69,MOP
9362817,8.29,27,ADIS
9260170,6.95,98,ADIS
9742566,6.11,59,MOP
9185690,6.68,67,MOP
9120842,6.48,74,ADIS
9889176,5.5,39,PR
9942577,4.16,64,MOP
